eventType,timestamp,x,y
mousemove,2024-08-27T06:16:08.641Z,638,388
mousemove,2024-08-27T06:16:08.936Z,642,388
mousemove,2024-08-27T06:16:09.228Z,646,387
mousemove,2024-08-27T06:16:09.539Z,649,387
mousemove,2024-08-27T06:16:09.830Z,653,387
mousemove,2024-08-27T06:16:10.156Z,657,387
mousemove,2024-08-27T06:16:10.453Z,660,387
mousemove,2024-08-27T06:16:10.743Z,664,386
mousemove,2024-08-27T06:16:11.038Z,667,386
mousemove,2024-08-27T06:16:11.329Z,671,386
mousemove,2024-08-27T06:16:11.624Z,674,386
mousemove,2024-08-27T06:16:11.922Z,678,386
mousemove,2024-08-27T06:16:12.215Z,681,386
mousemove,2024-08-27T06:16:12.508Z,684,386
mousemove,2024-08-27T06:16:12.807Z,687,386
mousemove,2024-08-27T06:16:13.099Z,691,386
mousemove,2024-08-27T06:16:13.391Z,694,386
mousemove,2024-08-27T06:16:13.684Z,697,386
mousemove,2024-08-27T06:16:13.974Z,700,386
mousemove,2024-08-27T06:16:14.272Z,703,386
mousemove,2024-08-27T06:16:14.568Z,705,386
mousemove,2024-08-27T06:16:14.863Z,708,386
mousemove,2024-08-27T06:16:15.163Z,711,386
mousemove,2024-08-27T06:16:15.452Z,713,386
mousemove,2024-08-27T06:16:15.744Z,716,386
mousemove,2024-08-27T06:16:16.043Z,718,386
mousemove,2024-08-27T06:16:16.337Z,721,386
mousemove,2024-08-27T06:16:16.626Z,723,386
mousemove,2024-08-27T06:16:16.924Z,725,387
mousemove,2024-08-27T06:16:17.218Z,728,387
mousemove,2024-08-27T06:16:17.518Z,730,387
mousemove,2024-08-27T06:16:17.812Z,732,387
mousemove,2024-08-27T06:16:18.107Z,733,387
mousemove,2024-08-27T06:16:18.405Z,735,387
mousemove,2024-08-27T06:16:18.699Z,737,387
mousemove,2024-08-27T06:16:18.993Z,739,388
mousemove,2024-08-27T06:16:19.292Z,740,388
mousemove,2024-08-27T06:16:19.586Z,741,388
mousemove,2024-08-27T06:16:19.878Z,743,388
mousemove,2024-08-27T06:16:20.176Z,744,388
mousemove,2024-08-27T06:16:20.468Z,745,388
mousemove,2024-08-27T06:16:20.760Z,746,388
mousemove,2024-08-27T06:16:21.054Z,747,389
mousemove,2024-08-27T06:16:21.348Z,748,389
mousemove,2024-08-27T06:16:21.642Z,749,389
mousemove,2024-08-27T06:16:21.937Z,749,389
mousemove,2024-08-27T06:16:22.230Z,750,389
mousemove,2024-08-27T06:16:22.526Z,750,389
mousemove,2024-08-27T06:16:22.816Z,750,389
mousemove,2024-08-27T06:16:23.113Z,750,389
mousemove,2024-08-27T06:16:23.410Z,750,389
mousemove,2024-08-27T06:16:23.698Z,750,390
mousemove,2024-08-27T06:16:23.995Z,750,390
mousemove,2024-08-27T06:16:24.291Z,750,390
mousemove,2024-08-27T06:16:24.579Z,749,390
mousemove,2024-08-27T06:16:24.877Z,749,390
mousemove,2024-08-27T06:16:25.172Z,748,390
mousemove,2024-08-27T06:16:25.467Z,747,390
mousemove,2024-08-27T06:16:25.764Z,746,390
mousemove,2024-08-27T06:16:26.063Z,745,390
mousemove,2024-08-27T06:16:26.355Z,744,390
mousemove,2024-08-27T06:16:26.647Z,743,390
mousemove,2024-08-27T06:16:26.939Z,741,390
mousemove,2024-08-27T06:16:27.233Z,739,389
mousemove,2024-08-27T06:16:27.528Z,738,389
mousemove,2024-08-27T06:16:27.820Z,736,389
mousemove,2024-08-27T06:16:28.104Z,734,389
mousemove,2024-08-27T06:16:28.397Z,731,389
mousemove,2024-08-27T06:16:28.697Z,729,389
mousemove,2024-08-27T06:16:28.986Z,726,388
mousemove,2024-08-27T06:16:29.278Z,724,388
mousemove,2024-08-27T06:16:29.576Z,721,388
mousemove,2024-08-27T06:16:29.867Z,718,387
mousemove,2024-08-27T06:16:30.155Z,715,387
mousemove,2024-08-27T06:16:30.446Z,711,387
mousemove,2024-08-27T06:16:30.748Z,708,386
mousemove,2024-08-27T06:16:31.050Z,704,386
mousemove,2024-08-27T06:16:31.348Z,701,385
mousemove,2024-08-27T06:16:31.635Z,697,385
mousemove,2024-08-27T06:16:31.929Z,693,385
mousemove,2024-08-27T06:16:32.758Z,553,473
mousemove,2024-08-27T06:16:33.045Z,557,472
mousemove,2024-08-27T06:16:33.340Z,561,471
mousemove,2024-08-27T06:16:33.630Z,565,470
mousemove,2024-08-27T06:16:33.933Z,569,469
mousemove,2024-08-27T06:16:34.226Z,573,468
mousemove,2024-08-27T06:16:34.533Z,578,467
mousemove,2024-08-27T06:16:34.827Z,582,466
mousemove,2024-08-27T06:16:35.122Z,586,466
mousemove,2024-08-27T06:16:35.419Z,590,465
mousemove,2024-08-27T06:16:35.709Z,594,464
mousemove,2024-08-27T06:16:36.003Z,598,464
mousemove,2024-08-27T06:16:36.297Z,602,463
mousemove,2024-08-27T06:16:36.598Z,606,462
mousemove,2024-08-27T06:16:36.888Z,611,462
mousemove,2024-08-27T06:16:37.184Z,615,461
mousemove,2024-08-27T06:16:37.469Z,619,461
mousemove,2024-08-27T06:16:37.764Z,623,460
mousemove,2024-08-27T06:16:38.058Z,626,460
mousemove,2024-08-27T06:16:38.353Z,630,459
mousemove,2024-08-27T06:16:38.648Z,634,459
mousemove,2024-08-27T06:16:38.943Z,638,459
mousemove,2024-08-27T06:16:39.242Z,642,458
mousemove,2024-08-27T06:16:39.535Z,646,458
mousemove,2024-08-27T06:16:39.835Z,649,458
mousemove,2024-08-27T06:16:40.119Z,653,458
mousemove,2024-08-27T06:16:40.412Z,657,457
mousemove,2024-08-27T06:16:40.701Z,660,457
mousemove,2024-08-27T06:16:40.996Z,664,457
mousemove,2024-08-27T06:16:41.296Z,667,457
mousemove,2024-08-27T06:16:41.589Z,671,457
mousemove,2024-08-27T06:16:41.884Z,674,457
mousemove,2024-08-27T06:16:42.177Z,678,456
mousemove,2024-08-27T06:16:42.486Z,681,456
mousemove,2024-08-27T06:16:42.787Z,684,456
mousemove,2024-08-27T06:16:43.075Z,687,456
mousemove,2024-08-27T06:16:43.470Z,691,456
mousemove,2024-08-27T06:16:43.765Z,694,456
mousemove,2024-08-27T06:16:44.059Z,697,456
mousemove,2024-08-27T06:16:44.351Z,700,456
mousemove,2024-08-27T06:16:44.643Z,703,456
mousemove,2024-08-27T06:16:44.941Z,705,456
mousemove,2024-08-27T06:16:45.231Z,708,456
mousemove,2024-08-27T06:16:45.530Z,711,456
mousemove,2024-08-27T06:16:45.818Z,713,457
mousemove,2024-08-27T06:16:46.109Z,716,457
mousemove,2024-08-27T06:16:46.404Z,718,457
mousemove,2024-08-27T06:16:46.698Z,721,457
mousemove,2024-08-27T06:16:46.995Z,723,457
mousemove,2024-08-27T06:16:47.296Z,725,457
mousemove,2024-08-27T06:16:47.589Z,728,457
mousemove,2024-08-27T06:16:47.883Z,730,457
mousemove,2024-08-27T06:16:48.174Z,732,458
mousemove,2024-08-27T06:16:48.473Z,733,458
mousemove,2024-08-27T06:16:48.767Z,735,458
mousemove,2024-08-27T06:16:49.060Z,737,458
mousemove,2024-08-27T06:16:49.356Z,739,458
mousemove,2024-08-27T06:16:49.649Z,740,458
mousemove,2024-08-27T06:16:49.938Z,741,458
mousemove,2024-08-27T06:16:50.238Z,743,459
mousemove,2024-08-27T06:16:50.532Z,744,459
mousemove,2024-08-27T06:16:50.824Z,745,459
mousemove,2024-08-27T06:16:51.117Z,746,459
mousemove,2024-08-27T06:16:51.410Z,747,459
mousemove,2024-08-27T06:16:51.704Z,748,459
mousemove,2024-08-27T06:16:51.995Z,749,459
mousemove,2024-08-27T06:16:52.294Z,749,460
mousemove,2024-08-27T06:16:52.593Z,750,460
