eventType,timestamp,x,y
mousemove,2024-08-27T17:09:46.943Z,818,333
click,2024-08-27T17:09:46.996Z,818,333
mousemove,2024-08-27T17:09:47.022Z,817,334
mousemove,2024-08-27T17:09:47.189Z,816,334
mousemove,2024-08-27T17:09:47.285Z,816,333
mousemove,2024-08-27T17:09:47.326Z,816,332
mousemove,2024-08-27T17:09:47.340Z,816,331
mousemove,2024-08-27T17:09:47.357Z,816,330
mousemove,2024-08-27T17:09:47.381Z,816,329
mousemove,2024-08-27T17:09:47.474Z,816,327
mousemove,2024-08-27T17:09:47.493Z,816,326
mousemove,2024-08-27T17:09:47.541Z,816,325
mousemove,2024-08-27T17:09:47.588Z,816,323
mousemove,2024-08-27T17:09:47.596Z,816,322
mousemove,2024-08-27T17:09:47.640Z,816,321
mousemove,2024-08-27T17:09:48.174Z,814,321
mousemove,2024-08-27T17:09:48.191Z,812,321
mousemove,2024-08-27T17:09:48.221Z,812,322
mousemove,2024-08-27T17:09:48.228Z,811,323
mousemove,2024-08-27T17:09:48.244Z,810,324
mousemove,2024-08-27T17:09:48.257Z,808,325
mousemove,2024-08-27T17:09:48.275Z,806,327
mousemove,2024-08-27T17:09:48.291Z,801,330
mousemove,2024-08-27T17:09:48.299Z,800,331
mousemove,2024-08-27T17:09:48.307Z,799,332
mousemove,2024-08-27T17:09:48.324Z,795,333
mousemove,2024-08-27T17:09:48.341Z,788,337
mousemove,2024-08-27T17:09:48.357Z,776,342
mousemove,2024-08-27T17:09:48.373Z,772,345
mousemove,2024-08-27T17:09:48.518Z,676,356
mousemove,2024-08-27T17:09:48.525Z,663,356
mousemove,2024-08-27T17:09:48.541Z,629,356
mousemove,2024-08-27T17:09:48.557Z,599,356
mousemove,2024-08-27T17:09:48.574Z,574,356
mousemove,2024-08-27T17:09:48.591Z,550,359
mousemove,2024-08-27T17:09:48.607Z,524,361
mousemove,2024-08-27T17:09:48.624Z,497,364
mousemove,2024-08-27T17:09:48.641Z,468,365
mousemove,2024-08-27T17:09:48.658Z,445,372
mousemove,2024-08-27T17:09:48.674Z,427,378
mousemove,2024-08-27T17:09:48.691Z,409,384
mousemove,2024-08-27T17:09:48.708Z,399,390
mousemove,2024-08-27T17:09:48.724Z,396,393
mousemove,2024-08-27T17:09:48.741Z,398,404
mousemove,2024-08-27T17:09:48.757Z,408,413
mousemove,2024-08-27T17:09:48.774Z,423,420
mousemove,2024-08-27T17:09:48.791Z,443,428
mousemove,2024-08-27T17:09:48.807Z,476,433
mousemove,2024-08-27T17:09:48.824Z,518,435
mousemove,2024-08-27T17:09:48.841Z,560,435
mousemove,2024-08-27T17:09:48.858Z,597,433
mousemove,2024-08-27T17:09:48.874Z,630,425
mousemove,2024-08-27T17:09:48.891Z,652,417
mousemove,2024-08-27T17:09:48.908Z,663,408
mousemove,2024-08-27T17:09:48.925Z,665,402
mousemove,2024-08-27T17:09:48.941Z,665,400
mousemove,2024-08-27T17:09:48.958Z,664,397
mousemove,2024-08-27T17:09:48.974Z,664,394
mousemove,2024-08-27T17:09:48.991Z,664,393
mousemove,2024-08-27T17:09:49.008Z,665,389
mousemove,2024-08-27T17:09:49.024Z,666,389
mousemove,2024-08-27T17:09:49.041Z,667,386
mousemove,2024-08-27T17:09:49.058Z,668,385
mousemove,2024-08-27T17:09:49.074Z,669,381
mousemove,2024-08-27T17:09:49.173Z,671,383
mousemove,2024-08-27T17:09:49.208Z,671,383
mousemove,2024-08-27T17:09:49.224Z,671,383
mousemove,2024-08-27T17:09:49.241Z,671,385
mousemove,2024-08-27T17:09:49.317Z,671,385
click,2024-08-27T17:09:49.325Z,671,385
mousemove,2024-08-27T17:09:49.358Z,671,385
mousemove,2024-08-27T17:09:49.838Z,671,387
mousemove,2024-08-27T17:09:49.845Z,672,388
mousemove,2024-08-27T17:09:49.858Z,675,390
mousemove,2024-08-27T17:09:49.871Z,680,393
mousemove,2024-08-27T17:09:49.889Z,685,395
mousemove,2024-08-27T17:09:49.908Z,692,398
mousemove,2024-08-27T17:09:49.921Z,701,403
mousemove,2024-08-27T17:09:49.941Z,720,410
mousemove,2024-08-27T17:09:49.958Z,732,413
mousemove,2024-08-27T17:09:49.975Z,743,419
mousemove,2024-08-27T17:09:49.992Z,753,424
mousemove,2024-08-27T17:09:50.008Z,762,428
mousemove,2024-08-27T17:09:50.025Z,771,431
mousemove,2024-08-27T17:09:50.041Z,780,435
mousemove,2024-08-27T17:09:50.058Z,788,438
mousemove,2024-08-27T17:09:50.075Z,799,440
mousemove,2024-08-27T17:09:50.081Z,803,441
mousemove,2024-08-27T17:09:50.092Z,806,443
mousemove,2024-08-27T17:09:50.108Z,812,445
mousemove,2024-08-27T17:09:50.125Z,818,446
mousemove,2024-08-27T17:09:50.141Z,824,448
mousemove,2024-08-27T17:09:50.143Z,827,449
mousemove,2024-08-27T17:09:50.158Z,830,451
mousemove,2024-08-27T17:09:50.175Z,832,452
mousemove,2024-08-27T17:09:50.191Z,834,452
mousemove,2024-08-27T17:09:50.208Z,836,453
mousemove,2024-08-27T17:09:50.225Z,839,453
mousemove,2024-08-27T17:09:50.242Z,840,453
mousemove,2024-08-27T17:09:50.382Z,841,453
mousemove,2024-08-27T17:09:50.391Z,843,453
mousemove,2024-08-27T17:09:50.408Z,844,453
mousemove,2024-08-27T17:09:50.425Z,848,453
mousemove,2024-08-27T17:09:50.442Z,850,453
mousemove,2024-08-27T17:09:50.458Z,854,453
mousemove,2024-08-27T17:09:50.475Z,859,453
mousemove,2024-08-27T17:09:50.492Z,863,453
mousemove,2024-08-27T17:09:50.508Z,865,453
mousemove,2024-08-27T17:09:50.525Z,867,454
mousemove,2024-08-27T17:09:50.541Z,868,455
mousemove,2024-08-27T17:09:50.558Z,869,457
mousemove,2024-08-27T17:09:50.575Z,870,458
mousemove,2024-08-27T17:09:50.592Z,871,459
mousemove,2024-08-27T17:09:50.625Z,872,461
click,2024-08-27T17:09:50.766Z,872,461
